Identifier,Title,Date of Publication,Place of Publication
1474068,Tableaux de Paris ... Paris qui consomme. Dessins de P. Vidal,1893,Paris
1474535,The Founding of South Australia as recorded in the journals of Mr. R. Gouger ... Edited by E. Hodder,1898,London
1476129,Bladys of the Stewponey. ... Illustrated by F. H. Townsend and B. Munns,1897,London
1476229,In Troubadour-Land. A ramble in Provence and Languedoc ... Illustrated by J. E. Rogers,1891,London
1476241,Mehalah: a story of the Salt Marshes. [By S. Baring Gould.],1880,London
1476925,Le Bois de Boulogne. Illustrations d'E. Morin,1861,Paris
1477537,"Amsterdamsche Tafereelen ... Met platen, geteekend en op Steen gebragt door J. C. Greive",1876,Haarlem
1477882,"The Government Official. A novel. [By Charlotte E. L. Riddell, with the assistance of A. H. Norway.]",1887,London
1477897,My First Prisoner. By the Governor. [A story. The dedication signed: B. T.],1898,Aberdeen
1478218,Edinburgh and its neighbourhood in the days of our grandfathers. A series of (eighty) illustrations [drawn by T. H. Shepherd]. ... with historical and descriptive sketches,1886,London
1478326,"The Despatches of Earl Gower, English Ambassador at Paris from ... 1790 to ... 1792. To which are added the despatches of Mr. Lindsay and Mr. Monro, and the diary of Viscount Palmerston in France during July and August 1791, now published for the first time. Edited by Oscar Browning",1885,Cambridge
1478351,"Journal of a tour in the Holy Land, in May and June 1840 ... With lithographic views from original drawings, by Lord F. Egerton",1841,London
1479302,Uwe Jens Lorsen. En politisk historisk Studie,1891,Kiøbenhavn
1479822,Dionigi Pasquier e la Restaurazione. Estratto dalla “Rassegna Nazionale” di Firenze,1899,Firenze
1480910,"No. 3, or, the Nosegay; being the third letter of the Country Post-Bag, from the Man to the Monster. [A lampoon on George Evans Bruce.]",1815,Dublin
1480911,"No. III. or, the Nosegay; being the third letter of the Country Post-Bag, from the Man to the Monster ... The second edition, with additions. [A lampoon on George Evans Bruce. With plates, including portraits.]",1816,Dublin
1481203,"Memoirs and Resolutions of Adam Graeme, of Messgray ... By the author of “Passages in the life of Mrs. Margaret Maitland,” etc. [Mrs. Oliphant.]",1852,London
1481204,"[Memoirs and Resolutions of Adam Graeme, of Messgray ... By the author of “Passages in the life of Mrs. Margaret Maitland,” etc. [Mrs. Oliphant.]]",1859,London
1482337,"Travels in Tunisia. With a glossary, a map, a bibliography, and fifty illustrations",1887,London
1483238,"Annals of Ireland, [from Sept. 16, 1643 to Jan. 15, 1653,] Ecclesiastical, Civil, and Military. (The Faith of Catholics: [a review of “The Faith of Catholics,” etc. by Messrs. Berington and Kirk.])",1819,London
1484265,"[The History of the United States of North America, from the plantation of the British Colonies, 'till their revolt and Declaration of Independence.]",1845,Philadelphia
1484525,"Le Guide des voyageurs dans la ruine de Heidelberg, d'après un plan du Château, levé par le colonel Georg Bauer, expliqué par le docteur Th. Al. Leger ... Traduit de l'allemand ... Nouvelle édition augmentée de la traduction du guide du professeur Leger",1856,Heidelberg
1486115,Mémoires d'un Chef de Partisans. De Vera-Cruz à Mazatlan. Illustrations de L. Maitrejean,1895,Paris
1486286,"Grandmother's Money. By the author of “One and twenty,” etc. [F. W. Robinson.]",1860,London
1487472,Poems on various subjects,1803,Edinburgh
1487617,Stories of Naples and the Camorra ... With introductory memoir of the author by J. B. Capper,1896,London
1487623,"The History of Mauritius, or the Isle of France, and the neighbouring islands from their first discovery to the present time, composed principally from the papers and memoirs of Baron Grant ... by his son, C. G. [assisted by W. Combe]. Illustrated with maps",1801,enk
1489070,"[An historical account of some memorable actions, particulary in Virginia. ... perform'd ... by Sr. T. G.]",1882,Richmond
1489370,"The Graphomania: an epistle to John Harden, of Brathay-Hall, Esq. [In verse.] By the author of Varnishando [i.e. Francis Dukinfield Astley]",1809,Manchester
1491693,"The Pirate's Hand. A romance of heredity. By the author of “Kneecapped” ... Edited by C. Graves, etc. [The preface is signed: R. L. S. and the book appears to be intended as a parody of the style of R. L. Stevenson.]",1889,London
1491694,"Seven Xmas Eves. Being the romance of a social evolution. [Tales.] By C. Graves, B. L. Farjeon [and five other writers], etc",1894,London
1492268,"Cavelier de La Salle, etc. [A biography.]",1871,Paris
1492270,"Découvertes et Établissements de Cavelier de La Salle, ... dans l'Amérique du Nord, etc",1870,Paris
1493736,"China: a history of the laws, manners, and customs of the people. ... Edited by W. G. Gregor. With ... illustrations",1878,London
1493749,Memoir and Remains. [Edited by J. B. Paul and W. R. Macdonald.],1895,Edinburgh
1494306,"The works of Thomas Gray; containing his poems, and correspondence ... To which are added, Memoirs of his life and writings, by W. Mason ... The third edition, carefully corrected, etc: Collections. I. Prose and Verse",1807,Vernor
1494360,The poems of Mr Gray. With notes by Gilbert Wakefield: Collections. III. Verse,1786,G. Kearsley
1494496,"The Latin odes of Mr. Gray, in English verse, with an ode On the death of a favorite spaniel. [Signed: E. B. G., i.e. Edward Burnaby Greene.]: Collections. III. Verse. Translations, Paraphrases, etc",1775,J. Ridley
1494587,Elegy written in a country churchyard ... Illustrated by R. W. A. Rouse. (Edited by Ernest Rhys.): Elegy written in a country churchyard. English,1898,Aldine House
1494588,Gray's Elegy and its author. Gray's Elegy ... with an introduction and illustrations from original photographs by Dr. J. L. Williams: Elegy written in a country churchyard. English,1898,James Bowden
1494637,Elegia di Tommaso Gray sopra un cimitero di campagna tradotta dall'inglese in più lingue con aggiunta di varie cose finora inedite per cura del dottore Alessandro Torri ... Edizione II accresciuta: Elegy written in a country churchyard. Polyglot,1843,Tipografia Migliaresi
1494642,Gray's Elegy written in a country churchyard. Translated into French by J. Roberts: Elegy written in a country churchyard. English and French,1875,Harrison & Sons
1494761,"Travels in Western Africa in the years 1819-21, from the river Gambia ... to the river Niger: by Major W. G., and ... Staff Surgeon Dochard. [With an appendix.-Edited by the former.]",1825,London
1495328,Graziella: translated from the French [of Lamartine] by Bertha Norwood,1876,London
1495576,"Five Court Rolls of Great Cressingham in the County of Norfolk. Translated, with an introduction and notes, by H. W. Chandler",1885,London
1495771,"The Logs of the First Voyage, made with the unceasing aid of steam, between England and America, by the Great Western, of Bristol, Lieut. James Hosken, R.N., Commander; also an appendix and remarks, by Christopher Claxton. [With a map.]",1838,Bristol
1496495,The Grecian Daughter: a tragedy [in five acts and in verse. By A. Murphy]. A new edition,1772,London
1497433,A modern Greek Heroine. [A novel. By H. Cresswell.],1880,London
1499126,Chronicles of Blackwall Yard. pt. 1,1881,London
1499422,The Conquest of England ... Second edition. [Edited by Alice S. Green.],1884,London
1499448,"J. R. Greens Geschichte des englischen Volkes. Nach der verbesserten Auflage des Englischen von 1888 übersetzt von E. Kirchner. Mit einem Vorwort von A. Stern, etc: [A Short History of the English People.]",1889,Berlin
1499731,"The Old Hall at Heath, 1568-1888 ... Illustrated by W. H. Milnes, Junr",1889,Wakefield
1499745,The Spleen. An epistle [in verse] inscribed to his particular friend Mr. C. J. ... By the late Mr. M. Green. [Edited by Richard Glover.],1737,London
1499961,"Sketches of the war in Greece, in a series of extracts from the private correspondence of P. J. G. with notes by R. L. Green ... and an appendix, etc",1827,London
1500310,Pictures from Bible Lands drawn with pen and pencil. Edited by S. G. G. The illustrations by E. Whymper and other ... artists,1879,London
1502704,Views & Reminiscences of Old Greenock. [With letterpress by A. Williamson.]: Appendix,1891,Greenock
1503244,Rain and Rivers; or Hutton and Playfair against Lyell and all comers,1857,London
1503245,[Rain and Rivers; or Hutton and Playfair against Lyell and all comers.],1866,London
1503247,River Terraces. Letters on geological and other subjects. [Edited by C. W. Greenwood. With a memoir of the author by G. G. Greenwood.],1877,London
1503410,"Curiosities of Savage Life ... (Second series.) With woodcuts ... by H. S. Melville; ... and coloured illustrations ... by F. W. Keyl, etc",1864,London
1503411,"Curiosities of Savage Life ... Third edition. With woodcuts and designs by Harden S. Melville, etc",1865,London
1503940,Manual of the Mineralogy of Great Britain and Ireland,1858,London
1504679,"Rapports ... sur la bibliographie, la destruction des patois et les excès du vandalisme faits à la convention ... réédités sous les auspices de M. E. Egger, ... par un Bibliophile normand (C. Renard.)",1867,Caen
1504806,"Whose was the Blame? A woman's version of the Kreutzer Sonata, [L. N. Tolstoi.] ... With a prologue translated from the Russian of Prince Galitzen [by Marie L. Shedlock]",1894,London
1505126,"Corsica: picturesque, historical, and social. With a sketch of the early life of Napoleon and an account of the Bonaparte, Paoli, Pozzo di Borgo, and other principal families. Suggested by a tour in the island in 1852. Translated ... by E. J. Morris: Single Works",1855,Philadelphia
1505127,Histoire de la Corse depuis les temps les plus reculés jusqu'à son annexion à la France en 1769; tirée des œuvres de F. C. et précédée d'une notice sur cette île par L. Boell: Single Works,1878,Marseille
1505147,The Emperor Hadrian: a picture of the Graeco-Roman world in his time. ... Translated by Mary E. Robinson. [With a bibliography.]: Single Works,1898,London
1505182,The Island of Capri ... Freely translated ... by M. D. Fairbairn: Single Works,1896,London
1505823,Die englische Gregorlegende nach dem Auchinleck MS. mit Anmerkungen und ausführlichem Glossar neu herausgegeben von F. Schulz: Appendix,1876,Königsberg ï. Pr
1506408,"Letters from Dr. J. G. in defence of his Essay on the difference of the relation between motive and action, and that of cause and effect in physics: with replies by A. Crombie",1819,London
1507282,"Report on the statements of the Lord Provost [i.e. K. Mackenzie] and Mr. A. Bruce, respecting the affairs of the city of Edinburgh, ... submitted to the Committee of the Guildry ... with an appendix, containing abstracts of the city's income and expenditure, for 12 years preceding Martinmas 1818, etc. [With MS. note by Lord H. Cockburn.]",1819,Edinburgh
1507542,Over land en zee. Herinneringen uit mijn verblijf in Indië ... Met een voorbericht van G. H. van Soest,1874,Zalt-Bommel
1507827,"Les exilés de Bourges, 1753-1754. D'après des documents inédits et le Journal anecdotique du Président de Meinières ... Portrait, etc",1892,Paris
1507868,"Dissertation on the Gipseys, etc. (Translated by the late M. Raper.)",1807,London
1508122,"Boulogne, son histoire et ses institutions-Église, Mairie, Écoles ... Préface par J. Mahias",1869,Paris
1508625,"Villedieulès-Poëles, sa commanderie, sa bourgeoisie, ses métiers",1899,Paris
1509343,John Greswold. [A novel.] By the author of “Paul Ferroll” [Mrs. A. Clive],1864,London
1509645,Geographie und Geschichte der Herzogthümer Schleswig und Holstein. Mit einem Vorwort von Dr N. Falck,1844,Kiel
1509795,"Certaine learned and elegant workes of the Right Honourable Fulke, Lord Brooke, written in his youth and familiar exercise with Sir P. Sidney",1633,London
1510188,G. F.'s Coventry. [An account of the fraternity of G. F. in Coventry. By T. Sharp.],1818,Coventry
1510950,"Critical, Historical, and Explanatory Notes upon Hudibras, by way of supplement to the two editions published in 1744, and 1745 ... To which is prefixed, a dissertation upon burlesque poetry, by the late ... Montagu Bacon ... And an appendix added; in which is a translation of part of the first canto of the first book into Latin doggrel. MS. notes",1752,London
1511196,"Greymore, a Story of Country Life. [By Mrs. A. B. Church.]",1860,London
1512492,"Universal-Lexicon von Württemberg, Hechingen und Sigmaringen. (Nachträge und Berichtigungen von Dr. C. Pfaff. 1843.)",1841,Stuttgart
1512787,The Adventures of a Griffin on a voyage of discovery. Written by himself. [By Harden S. Melville. With illustrations.],1867,London
1513427,"Miscellaneous tracts, containing: I. A letter to D. Trant ... ralative to his pamphlet against the Munster Peasantry, and his unfortunate duel with ... Sir J. Colthurst, Bt.-II. Observations on the Bishop of Cloyne's pamphlet; in which the doctrine of tithes is candidly considered .... III. Extract of Theophilus's letter to the author ... A letter to D. Toler ... relative to that unfortunate victim to popular prejudice, ... N. Sheehy, etc",1787,Dublin
1513821,"A Journey across the Desert, from Ceylon to Marseilles: comprising sketches of Aden, the Red Sea, Lower Egypt, Malta, Sicily and Italy. By Major and Mrs. G. D. Griffith. [The illustrations taken from drawings made by Major G. D. Griffith, the text written by Mrs. L. D. G.]",1845,London
1514272,"Eleanor, Gone with the Storm, and other poems ... Illustrated by T. H. Collins",1874,London
1515216,"Россія и Азія. Сборникъ изслѣдованій и статей по исторіи, этнографіи и географіи. [Edited by P. I. Lerkh.]",1876,С.-Петербургъ
1516212,The Deer Forests of Scotland ... Illustrated (by A. Thorburn),1896,London
1516239,"Baron Grimbosh, Doctor of Philosophy and sometime Governor of Barataria. A record of his experience, written by himself in exile, and published by authority. [By Charles Mackay.]",1872,London
1518897,The Poets and Poetry of England in the nineteenth century. Second edition,1845,Philadelphia
1519501,Colonel Grodekoff's Ride from Samarcand to Herat ... [Translated] by C. Marvin,1880,London
1520594,"Briefe über Nord-Amerika und Mexiko und den zwischen beiden geführten Krieg, von C. von G. ... Nach dessen Tode herausgegeben und mit einem Vorworte begleitet von A. C. E. von Grone",1850,Braunschweig
1520857,Ça ira! or Danton in the French Revolution. A study,1888,Boston Mass.
1522141,"Paul Soleillet en Afrique ... Illustrations, etc. [A narrative of P. Soleillet's travels in Africa, with copious extracts from his journals, and a biography.]",1888,Paris
1523982,"The Wreck of the “Grosvenor.” An account of the Mutiny of the Crew and the Loss of the Ship, when trying to make the Bermudas. [A novel, by W. Clark Russell.]",1877,London
1524189,Матеріалы для исторіи Пугачевскаго бунта. Бумаги Кара и Бибикова ... Приложеніе к 1-му тому Записок Имп. Академіи Наук No. 4: Single Works,1859,Санктпетербург
1524267,"The Minor Works of George Grote. With critical remarks on his intellectual character, writings and speeches, by A. Bain",1873,London
1524273,"History of Greece. ... (With portrait, maps and index.) Fourth edition",1854,London
1524276,"[History of Greece. ... (With portrait, maps and index.) Fourth edition.]",1872,London
1524751,"The early records of Groton, Massachusetts, 1662-1707. Edited [from a MS. known as the “Indian Roll”] by S. A. Green",1880,Groton
1524756,"The town records of Groton, Massachusetts. 1662-1678. Edited by S. A. Green",1879,Groton
1525678,"Journal of a residence at Bagdad, during the years 1830 and 1831. [Edited by A. J. Scott.]",1832,London
1525813,"A soldier born, or the adventures of a Subaltern of the 95th in the Crimea and Indian Mutiny. [A tale] ... Illustrated by W. Pearce",1886,London
1526228,Heroes of history and legend ... Translated from the German (of the second part of Grube's “Charakterbilder aus der Geschichte und Sage”) by J. L. Shadwell,1880,London
1526229,[Heroes of history and legend ... Translated from the German (of the second part of Grube's “Charakterbilder aus der Geschichte und Sage”) by J. L. Shadwell.],1882,London
1528137,The Great Grundy Romance: a true tale of a cathedral city. With illustrations by J. B. Smith,1864,London
1528326,Geschichte Polens nach Chodźko's Vorgange frei bearbeitet,1862,Berlin
1529524,Notes rectificatives de l'ouvrage de M. Bedin sur le fief de Prony. [Signed L...s G...s. i.e. Louis Gros.],1862,Lyon
1529621,"Switzerland: its scenery and people. Pictorially represented by ... Swiss and German artists. With historical and descriptive text, based on the German of Dr Gsell-Fels. [Translated and adapted by G. C. Chisholm.]",1881,London
1529657,"The Dispensary ... The third edition, corrected by the author",1699,London
1529659,The Dispensary ... The fifth edition. MS. notes,1703,London
1529852,Della città e del comune di Carpi. Cenni statistici e storici. [Edited by Policarpo Guaitoli.],1874,Carpi
1530656,"Il Pastor Fido. The faithfull Shepheard. [Translated from the Italian of Guarini.] With an addition of divers other Poems, concluding with a short discourse of the long Civill Warres of Rome ... by Richard Fanshawe, Esq. [With an engraved portrait of Guarini by Thomas Cross.]",1648,London
1530918,Cronaca Alessandrina ... pubblicata da A. Civalieri-Inviziati,1894,Torino
1530943,"Relazione della storia d'Inghilterra del MDCXLVII., scritta dal residente in Londra B. Guasconi ed inviata a Ferdinando II. in Firenze. [Edited, with a life of Guasconi, by G. T. Gargani.]",1886,Firenze
1533658,La Khroumirie et sa colonisation. (Tunisie.),1892,Paris
1533787,"Geschichte der Belagerung, Eroberung und Zerstörung Magdeburgs ... Aus der Handschrift zum Erstenmale veröffentlicht von T. W. Hoffmann",1860,Magdeburg
1535108,How French Soldiers fared in German Prisons ... Edited [or rather translated] by Henry Hayward,1891,London
1535493,"Origines de la Martinique. Le colonel François de Collart et la Martinique de son temps. Colonisation, sièges, révoltes et combats de 1625 à 1720. (Extrait de la Revue historique de l'Ouest.)",1893,Vannes
1536828,"Bibliothèque Dieppoise. Mémoires pour servir à l'histoire de la ville de Dieppe, par M. C. G. ..., publiés ... avec une introduction, des suppléments jusqu'à 1790 et des notes historiques par M. Hardy, etc",1878,Dieppe
1537034,"Beschryving van Antwerpen Mechelen, Lier en Turnhout, ... In het Nederduitsch vertaeld door Kiliaen; herdrukt volgens de uitgave van 1612 in naem der Rederykkamer De Olyftak",1854,Antwerpen
1537076,Le Sermon de Guichard de Beaulieu publié pour le première fois d'après le manuscrit unique de la Bibliothèque du Roi [par A. Jubinal]. G.L,1834,Paris
1537775,"Cose notabili della città di Bologna, ossia Storia cronologica de'suoi stabili pubblici e privati per G. ... G. Pubblicata dal figlio Ferdinando, etc",1868,Bologna
1538375,"La République Argentine, physique et économique ... Préface d'E. Gautier",1889,Paris
1538472,"The Wife of Two Husbands, a musical drama, in three acts. As performed at the Theatre-Royal, Drury-Lane. By J. Cobb, etc. (Taken from “La Femme à deux maris,” by Guilbert de Pixerècourt [sic].): La Femme à Deux Maris",1803,London
1539168,Memoirs of the Ionian Islands ... including the life and character of Ali Pacha the present Ruler of Greece ... Translated from the Original inedited MS. by W. Walton,1816,London
1539179,"Tableaux algériens. Ouvrage illustré ... d'après les tableaux, les dessins et les croquis de l'artiste. Précédé d'une notice sur la vie et les œuvres de Guillaumet par E. Mouton",1888,Paris
1539340,"The Cruise of the Marchesa ... With maps and ... woodcuts drawn by J. Keulemans, C. Whymper and others ... Second edition",1889,London
1539349,"The Kitchen Maid; or, Some one we know very well. [A play for children,] ... With illustrations by J. B. Partridge, etc",1896,London
1539704,"Recherches sur Changé-lès-Laval, par L. M. F. G. [Completed by J. Guiller and G. Esnault.] tom. 2",1882,Laval
1540853,"[L'Été à Bade ... Troisième édition, revue et corrigée.]",1861,Paris
1540854,"A Summer at Baden-Baden ... illustrated by T. Johannot, E. Lamy, etc",1853,London
1540929,"La Réunion des Grisons à la Suisse. Correspondance diplomatique de Florent Guiot ... et des députés grisons à Paris avec Talleyrand, le Directoire, et les gouvernements helvétique et grison. Publiée par E. Dunant ... Avec une introduction et des notes",1899,Bâle
1541639,"General History of Civilization in Europe. Edited, with ... notes, by G. W. Knight: Cours d'histoire moderne ... Histoire générale de la civilisation en Europe",1896,New York
1541676,"L'Histoire d'Angleterre depuis les temps les plus reculés ... racontée à mes petits-enfants ... recueillie par Madame de Witt. ... Ouvrage illustré, etc: Single Works",1877,Paris
1541677,"The History of England ... Related for the rising generation by M. Guizot, and edited by Madame de Witt ... Translated by M. Thomas. With ... illustrations: Single Works",1877,London
1541678,"L'Histoire de France depuis les temps les plus reculés jusqu'en 1789, racontée à mes petits-enfants ... Ouvrage illustré ... d'après les dessins d'A. de Neuville: Single Works",1870,Paris
1541679,"L'Histoire de France depuis 1789 jusqu'en 1848, racontée à mes petits-enfants, par M. Guizot. Leçons recueillies par Madame de Witt, etc: Single Works",1878,Paris
1541681,"The History of France, from the earliest times to the outbreak of the Revolution. Abridged from ... R. Black's translation of ... Guizot's larger history. With chronological index, ... tables, portraits ... By G. Masson, etc: Single Works",1879,London
1541683,"Récits historiques tirés de L'Histoire de France racontée à mes petits enfants, etc. (vol. 1. Edited by Rev. A. C. Clapin.-vol. 2. Edited by E. L. Naftel.): Single Works",1891,London
1541692,"History of Charles the First and the English revolution, from the accession of Charles the First to his execution ... Translated by A. R. Scoble. New edition, revised and enlarged: Single Works",1854,London
1541693,"History of Oliver Cromwell and the English Commonwealth, from the execution of Charles the First to the Death of Cromwell. Translated by A. R. Scoble: Single Works",1854,London
1541697,History of Richard Cromwell and the Restoration of Charles II. ... Translated by A. R. Scoble: Single Works,1856,London
1541838,Поневѣжскій уѣздъ. (Отдѣльный оттискъ изъ Памятной книжки Ковенской губерніи на 1898 года.) [With an article on the language by K. Jaũnius.],1898,Ковна
1542870,"Journals kept by Mr. G. and Capt. Denham, during a captivity in China in ... 1842. Edited by a Barrister",1844,London
1543891,"Sutherland and the Reay Country: history, antiquities, etc",1897,Glasgow
1543964,Letters written during a four-days Tour in Holland in the Summer of 1834. [Edited by Dawson Turner.],1834,Yarmouth?
1544493,Life-history of our planet ... Illustrated by M. Gunning,1876,Chicago
1544915,"An epitome of Mr. G.'s History of Peterborough Cathedral. [By C. J., i.e. Jacob.] The eleventh edition, etc",1807,Peterborough
1545385,"Историческая Хрестоматія по Русской исторіи ... Составлена Я. Г. Гуревичемъ и Б. А. Павловичемъ ... Изданіе второе ... дополненное Я. Гуревичемъ. Часть 1, 2",1881,С.-Петербургъ
1546382,Major General W. Napier and Colonel Gurwood. (Additional correspondence.) [Criticism of references to Col. Gurwood in the “History of the War in the Peninsula.”],1845,London
1547982,"[A New Geographical, Historical, and Commercial Grammar ... The astronomical part by James Ferguson ... To which have been added, the late discoveries of Dr. Herschel ... The eighteenth edition, corrected and considerably enlarged.]",1801,London
1547985,"[A new geographical, historical, and commercial grammar; and present state of the several kingdoms of the world ... The astronomical part by James Ferguson, F.R.S., to which have been added the late discoveries of Dr. Herschel ... Illustrated with a correct set of maps, engraved from the most recent observations and draughts of geographical travellers. The twentieth edition, corrected and considerably enlarged.]",1819,London
1547993,"A System of Modern Geography ... The astronomical part by James Ferguson ... The seventh edition, corrected, and greatly enlarged",1811,London
1549628,"Comparative Physical Geography; or the earth in relation to man ... Translated from the French by C. C. Felton, etc",1850,London
1549629,"[Comparative Physical Geography; or the earth in relation to man ... Translated from the French by C. C. Felton, etc.]",1850,London
1549853,Histoire des Prolétaires depuis les temps les plus reculés jusqu'à nos jours ... Dessins et gravures ... Deuxième édition,1873,Paris
1551248,"The gymnasiad, or boxing match; a very short but very curious epic poem: with the prolegomena of Scriblerus Tertius, and notes variorum. [By P. Whitehead.]",1744,London
1551954,"A new Miscellany of original poems, translations and imitations, by ... Mr Prior, Mr Pope, Mr Hughes, Mr Harcourt, Lady M[ary] W[ortley] M[ontague], Mrs Manley, etc. Now first published ... with some familiar Letters by the late Earl of Rochester, never before printed. [Edited, with contributions, by A. H., i.e. Anthony Hammond.]",1720,London
1552020,A Daughter of the Druids. [A novel.] By A. K. H[opkins],1892,Boston Mass.
1552224,Life in the land of the Fire Worshipper. By Charles de H*********. Edited by Frederika Bremer,1861,London
1552290,"Elgiva, or the Monks. An historical poem. With some minor pieces. [The preface signed: E. H., i.e. Elizabeth Ham.]",1824,London
1552493,"Memorials of Lostwithiel [and of Restormell]: collected and contributed. Taken from the writings of Leland, Carew ... and others. [The preface signed: F. M. H., i.e. F. M. Hext. With MS. insertions.]",1891,Truro
1552522,The Adventures of the Rev. Doctor Prosody in the Island of Rathlin. A serio-comic poem. By G. H[arvey],1865,Madras
1552689,"Holiday Haunts on the West Coast of Clare, Ireland. By H. B. H[arris]",1891,Limerick
1552712,Prince Maurice of Statland. [A novel.] By H. R. H. [i.e. C. MacKellar.],1890,London
1552775,"The Centuries. A chronological synopsis of history on the “space-for-time” method. [Compiled by J. H., i.e. Jonathan Hutchinson.] Second edition, revised and much enlarged",1897,London
1552913,"Some Remarks on the Government of Workhouses, in a letter [signed, J. H.] addressed to Sir Culling Eardley Smith, Bart",1835,Hull
1552980,"[Paradise transplanted and restored, in a most artfull and lively representation of the several creatures, plants, flowers and other vegetables ... Written by J. H., Gent.]",1871,London
1553560,Blythe House. By R. F. H. [i.e. Rosa F. Hill.],1864,London
1553618,"Sicily and Naples, or, the fatall union. A tragœdy [in five acts and in verse and prose]. By S[amuel] H[arding], A[rtium] B[accalaureus], e C[ollegio] Ex[oniensi. Edited by P. P.]",1640,Oxford
1553641,"The Wedmore Chronicle. vol. 1. 1881 to 1887. vol. 2. 1888 to 1898. [Preface signed: S. H. A. H., i.e. Sydenham Henry Augustus Hervey.]",1887,Wedmore
1553747,"Appendix to the Twelfth Edition of the Pilot's Handbook for the English Channel [by J. W. King]; giving the latest changes in Lights and Buoys, to November, 1896. [The preface is signed: T. A. H., i.e. T. A. Hull.]",1896,London
1554950,"Schleswig-Holstein meerumschlungen in Wort und Bild ... Herausgegeben von H. Haas, H. Krumm und F. Stoltenberg, etc",1896,Kiel
1556289,"The Tower of the Hawk; some passages in the history of the House of Hapsburg. By the author of “Chillon,” etc. [Jane Louisa Willyams.]",1871,London
1556481,"Stories from English History, during the Middle Ages. ... Revised by D. M. Smith",1872,London
1556891,European Slave life. [A novel.] ... Translated from the German by E. Woltmann,1880,London
1557404,"Hadden's Journal and Orderly Books. A Journal kept in Canada and upon Burgoyne's campaign in 1776 and 1777. ... Also orders ... issued by Sir G. Carleton, Lieut. General J. Burgoyne. ... With ... notes by H. Rogers. [With lithographed facsimiles.]",1884,Albany
1557425,"Charters and Writs concerning the Royal Burgh of Haddington, 1318-1543. Transcribed and translated by J. G. Wallace-James. Lat. & Eng",1895,Haddington
1557490,"The History and Antiquities of H. H.: illustrated by lithographs from drawings by G. Cattermole, with an account of the Hall in its present state",1867,London
1557709,[The Epic of Hades ... [By Sir Lewis Morris.] Fourth edition.],1879,London
1557710,[The Epic of Hades ... [By Sir Lewis Morris.] Fourth edition.],1880,London
1557712,"Hades, or the House of Many Mansions ... A serious rhyme for the new year. By the author of “Lines upon the Death of Wellington” [Charles Hancock]",1853,Taunton
1558392,"Sanssouci, Potsdam und Umgegend. Mit besonderer Rücksicht auf die Regierungszeit Seiner Majestät Friedrich Wilhelm IV. ... unter ... Mitwirkung der Herren Lenné und Hesse geschichtlich eingeleitet und geschildert von C. L. H. gen. Belani",1855,Berlin und Potsdam printed
1558544,A Visit to Ceylon ... Translated by Clara Bell,1883,London
1559196,"Handel receiving the Laurel from Apollo. A poem by an unknown author, originally printed in the year 1724. Edited by F. Chrysander: Appendix",1859,Leipsic
1559332,"Tadeo Hænke. Escritos, precedidos de algunos apuntes para su biografía ... por M. V. Ballivian ... y P. Kramer",1898,La Paz
1559379,"Letters on the Nicobar Islands; their natural productions, and the manners and superstitions of the natives, with an account of an attempt made ... to convert them to Christianity. Addressed ... to [and edited by] the Rev. C. I. Latrobe",1812,London
1559804,L. H.'s Geschichte der französischen Revolution 1789-1799. Herausgegeben von W. Oncken,1867,Berlin
1560233,"The Old Hag in a Red Cloak. A romance. [In verse, by G. Watson.] Inscribed to [and a parody of the style of] the author of The Grim White Woman [M. G. Lewis]",1801,London
1560292,"Hagar. [A novel.] By the Author of “St. Olave's,” etc. [Eliza Tabor, afterwards Stephenson.]",1870,London
1561581,"Cleopatra, being an account of the fall and vengeance of Harmachis, the royal Egyptian, as set forth by his own hand. [A novel, with illustrations by R. C. Woodville and Maurice Greiffenhagen.] L.P: Single Works",1889,London
1561635,Joan Haste ... With 20 illustrations by F. S. Wilson: Single Works,1895,London
1561816,"Joshua Haggard's Daughter. A novel. By the author of “Lady Audley's Secret,” etc., etc. [Miss M. E. Braddon.]",1876,London
1562803,"Morgenwandelingen door en in den omtrek van s' Gravenhage; of Schoonheden en merkwaardige byzonderheden betrekkelijk deze Residentie, etc: Appendix",1832,'s Gravenhage
1563734,"Dorothea Waldegrave. A tale. Translated from the German [of “Vergib uns unsere Schuld”], with a preface, by Lady Herbert",1875,London
1564165,"Recueil historique du Boulonnais-notices, articles, éphémérides-1845-1893. Annoté, documenté et illustré par A. de Rosny",1897,Boulogne-sur-Mer
1564655,"A Guide to the Cathedral Church of Gloucester ... Second edition revised and corrected up to the present time, and illustrated, by F. S. Waller",1880,Gloucester
1565253,"Orszaggyülési Emlékkönyv. 1866 ... H. K. felelös szerkesztö, Farkas A. fömunkatárs",1866,Pest
1565338,Paris Originals ... With ... etchings by L. Richeton,1878,London
1565345,The New Dance of Death,1884,London
1565412,"The Poems of T. G. Hake. Selected, with a prefatory note by Alice Meynell, and a portrait by D. G. Rossetti",1859,pp. viii. 155. E. Mathews & J. Lane
1565519,"The principal Navigations, voyages, traffiques, and discoveries of the English nation. Collected by R. H. ... Edited by E. Goldsmid. L.P: Principall Navigations",1885,Edinburgh
1565528,"Voyages of the Elizabethan Seamen to America. Thirteen original narratives from the collection of Hakluyt, selected and edited, with historical narratives, by E. J. Payne: Principall Navigations",1880,London
